friends,followes,date
4949,4925,814
0,0,814
0,0,803
62322,60724,812
537448,523515,808
31190,31215,817
0,0,818
0,0,818
149787,144566,798
0,0,800
0,0,812
0,0,802
0,0,815
0,0,819
1402,1375,812
26489,26652,807
246043,515530,818
628597,617338,819
149787,144566,817
0,0,820
0,0,816
0,0,818
44979,43167,819
0,0,817
996193,739521,799
0,0,820
231947,228432,802
118605,114819,818
0,0,818
0,0,819
0,0,813
77740,76520,818
0,0,814
224402,223919,819
440208,914158,819
0,0,818
0,0,803
111722,106126,814
614338,622508,799
44979,43167,818
0,0,819
118605,114819,816
358257,150016,812
0,0,817
0,0,819
0,0,819
0,0,807
0,0,818
0,0,792
0,0,819
0,0,792
0,0,819
0,0,819
231947,228432,812
0,0,804
62322,60724,810
1402,1375,812
846903,806206,813
463353,455329,811
0,0,819
0,0,813
0,0,820
127093,128617,815
28514,26157,815
0,0,814
0,0,808
0,0,820
0,0,804
0,0,817
0,0,808
0,0,815
0,0,801
0,0,817
0,0,811
0,0,815
0,0,817
0,0,810
330704,318461,818
0,0,815
0,0,819
0,0,820
0,0,813
0,0,818
0,0,814
31593,30850,809
0,0,812
37718,36462,818
77740,76520,815
46824,46236,815
21813,22456,811
996193,739521,800
0,0,810
463353,455329,811
1402,1375,814
0,0,816
26489,26652,807
0,0,810
0,0,818
0,0,819
846903,806206,813
0,0,811
0,0,813
0,0,814
149787,144566,815
0,0,813
26489,26652,807
247459,141328,819
0,0,813
0,0,819
0,0,813
0,0,816
0,0,819
111722,106126,816
0,0,819
37718,36462,815
118605,114819,818
0,0,813
0,0,819
0,0,820
4949,4925,820
79800,79476,814
0,0,807
0,0,806
37718,36462,812
247459,141328,817
44979,43167,811
0,0,818
0,0,820
0,0,803
0,0,820
0,0,818
0,0,806
0,0,812
0,0,817
0,0,812
0,0,819
0,0,804
0,0,818
0,0,817
0,0,819
0,0,799
0,0,795
9916,9353,797
46824,46236,792
0,0,819
0,0,819
10248,10271,819
0,0,812
0,0,803
0,0,802
231947,228432,815
0,0,818
0,0,818
0,0,805
127093,128617,819
0,0,819
42042,41347,808
0,0,820
0,0,819
628597,617338,814
0,0,812
0,0,819
0,0,819
0,0,816
0,0,813
62322,60724,815
0,0,816
9916,9353,802
0,0,818
0,0,816
79800,79476,811
28514,26157,811
0,0,812
823844,815195,820
4949,4925,812
0,0,811
26489,26652,819
242009,249571,814
